Tweet ID,Full Text,Preprocessed Text
1.65E+18,"@HPIndia  very very worst warranty service providing by HP India now a days. Hearafter, I personally not recommend any HP products to my friends and customers.",hpindia worst warranty service providing hp india days hearafter personally recommend hp products friends customers
1.63E+18,"I bought the @HP ENVY Laptop OLED Touch 16-h0028TX in mid-Jan 2023
So far it crashes after a tech expert came on Feb 28th and replaced the motherboard. The system diagnostics test has been run more than 7-10 times for the HP support team. #hp  #worstexperiance @HPIndia @HPSupport",bought hp envy laptop oled touch 16h0028tx midjan 2023 far crashes tech expert came feb 28th replaced motherboard diagnostics test run 710 times hp support team hp worstexperiance hpindia hpsupport
1.65E+18,"@astitvam He don’t allow Apple Microsoft Hp products in India , only Karnataka brands are allowed to sell in Karnataka by that GDP will fall",astitvam don’t allow apple microsoft hp products india karnataka brands allowed sell karnataka gdp fall
1.66E+18,"McKinsey Product Academy offers real and actionable insights from product leaders. Register by June 2 to learn how GenAI, sustainability, inclusive design, and more are revolutionizing Product Management.",mckinsey product academy offers real actionable insights product leaders register june 2 learn genai sustainability inclusive design revolutionizing product management
1.64E+18,"@HPIndia @HP @HPSupport @HPIndia_MD @EnriqueJLores Any new fake procedures? As I said the entire internal system of HP crashed. Need to be improved and restarted. Nothing is systematic. You may hold selling products and upgrade your system. 

@jagograhakj",hpindia hp hpsupport hpindiamd enriquejlores new fake procedures said entire internal hp crashed need improved restarted systematic hold selling products upgrade jagograhakj
1.65E+18,"@HPIndia I don't Know but Services are going really Terrific and does a new Purchased Gaming laptops get blank screen, is these the Hp products are nowadays https://t.co/ebf8JXuitu",hpindia dont know services going really terrific does new purchased gaming laptops blank screen hp products nowadays
1.65E+18,"@SanDisk @Sony @HPIndia 
@tnpoliceoffl @mkstalin

There may be copy products (USB pen drive) in circulation in local mobile shop.
👆
It is difficult to identify original on leading brands.

My guess
Cover may be looking like original, but internal circu",sandisk sony hpindia tnpoliceoffl mkstalin copy products usb pen drive circulation local mobile shop 👆 difficult identify original leading brands guess cover looking like original internal circu
1.61E+18,"@YESBANK @HP
#yesrewardzprogram
Fraud reward program by Yes Bank India.
Sent a fake HP laptop bag that was damaged. Verdical solutions India Pvt Ltd was the partner as per packing.
@HPIndia @EnriqueJLores @pk63
Counterfeit products in payback rewards. 
#s",yesbank hp yesrewardzprogram fraud reward program yes bank india sent fake hp laptop bag damaged verdical solutions india pvt partner packing hpindia enriquejlores pk63 counterfeit products payback rewards s
1.65E+18,"@RajivMakhni @SamsungIndia @HPIndia @LGIndia only few products are listed under #righttorepiar
Where are other appliances? I think Govt needs to be more strict on this. Companies are registering just to get theirs names on the website. @PMOIndia @narendra",rajivmakhni samsungindia hpindia lgindia products listed righttorepiar appliances think govt needs strict companies registering just theirs names website pmoindia narendra
1.66E+18,@HPIndia we bought products from you because u are reputed company. I bought  laptop 4 months ago since then i am facing problems in system i complaint but i did not get proper solution from your support team 🤦🏻‍♂️ i have 3 years warranty . @H,hpindia bought products u reputed company bought laptop 4 months ago facing problems complaint did proper solution support team 🤦🏻‍♂️ 3 years warranty h
